id;date;journal_id/id;name;period_id/id;line_id/account_id/id;line_id/date;line_id/name;line_id/credit;line_id/debit;line_id/journal_id/id;line_id/period_id/id
1;2015-26-03;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_204;2015-26-03;36797-Réalisation Projet CTI H1N1;0.0;3600.0;__export__.account_journal_5;__export__.account_period_10
0;;;;;__export__.account_account_134;2015-26-03;36797-Réalisation Projet CTI H1N1;3600.0;0.0;;
2;2015-26-03;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_204;2015-26-03;33239-Réalisation Projet FNS PRN 66;0.0;3600.0;__export__.account_journal_5;__export__.account_period_10
0;;;;;__export__.account_account_134;2015-26-03;33239-Réalisation Projet FNS PRN 66;3600.0;0.0;;
3;2015-26-03;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_211;2015-26-03;28830 - Projet Leading House II (solde valorisat°);0.0;4400.400000000001;__export__.account_journal_5;__export__.account_period_10
0;;;;;__export__.account_account_134;2015-26-03;28830 - Projet Leading House II (solde valorisat°);4400.400000000001;0.0;;
4;2015-26-03;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_211;2015-26-03;40948 - Réalisation Projet Lives;0.0;4400.400000000001;__export__.account_journal_5;__export__.account_period_10
0;;;;;__export__.account_account_134;2015-26-03;40948 - Réalisation Projet Lives;4400.400000000001;0.0;;
5;2015-26-03;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_211;2015-26-03;Dépôt new projet fondat° privée Qualifm insert°Jeu;0.0;4400.400000000001;__export__.account_journal_5;__export__.account_period_10
0;;;;;__export__.account_account_134;2015-26-03;Dépôt new projet fondat° privée Qualifm insert°Jeu;4400.400000000001;0.0;;
6;2015-26-03;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_211;2015-26-03;Comité de rédaction de conférences et de journaux;0.0;4400.400000000001;__export__.account_journal_5;__export__.account_period_10
0;;;;;__export__.account_account_134;2015-26-03;Comité de rédaction de conférences et de journaux;4400.400000000001;0.0;;
7;2015-26-03;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_211;2015-26-03;Réalisation de mandat Ville de GE et canton de GE;0.0;4400.400000000001;__export__.account_journal_5;__export__.account_period_10
0;;;;;__export__.account_account_134;2015-26-03;Réalisation de mandat Ville de GE et canton de GE;4400.400000000001;0.0;;
8;2015-26-03;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_211;2015-26-03;Socle Recherche HEG;0.0;4400.400000000001;__export__.account_journal_5;__export__.account_period_10
0;;;;;__export__.account_account_134;2015-26-03;Socle Recherche HEG;4400.400000000001;0.0;;
9;2015-26-03;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_192;2015-26-03;39477 - Projet CTI RSD GLASS Infonomics;0.0;14400.0;__export__.account_journal_5;__export__.account_period_10
0;;;;;__export__.account_account_134;2015-26-03;39477 - Projet CTI RSD GLASS Infonomics;14400.0;0.0;;
10;2015-26-03;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_183;2015-26-03;Réserve -- CTI ou autre projet à fond de tiers;0.0;3999.6;__export__.account_journal_5;__export__.account_period_10
0;;;;;__export__.account_account_134;2015-26-03;Réserve -- CTI ou autre projet à fond de tiers;3999.6;0.0;;
11;2015-26-03;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_183;2015-26-03;Mandat pass vac facture mai 2014;0.0;3999.6;__export__.account_journal_5;__export__.account_period_10
0;;;;;__export__.account_account_134;2015-26-03;Mandat pass vac facture mai 2014;3999.6;0.0;;
